37,1,1.69,178.00,137.53,502.00,1,-1,-1,-1
42,1,12.66,169.00,158.62,514.00,1,-1,-1,-1
47,1,28.69,166.00,164.53,530.00,1,-1,-1,-1
52,1,41.34,162.00,178.88,534.00,1,-1,-1,-1
57,1,67.50,166.00,201.66,524.00,1,-1,-1,-1
62,1,91.12,169.00,222.75,532.00,1,-1,-1,-1
68,1,125.72,165.00,206.72,521.00,1,-1,-1,-1
73,1,143.44,167.00,215.16,514.00,1,-1,-1,-1
79,1,178.88,166.00,196.59,519.00,1,-1,-1,-1
84,1,182.25,176.00,203.34,515.00,1,-1,-1,-1
91,1,199.12,168.00,177.19,510.00,1,-1,-1,-1
97,1,212.62,175.00,171.28,507.00,1,-1,-1,-1
104,1,210.09,187.00,188.16,488.00,1,-1,-1,-1
111,1,222.75,177.00,186.47,498.00,1,-1,-1,-1
117,1,221.91,176.00,212.62,501.00,1,-1,-1,-1
123,1,243.00,183.00,183.09,495.00,1,-1,-1,-1
129,1,258.19,173.00,183.94,498.00,1,-1,-1,-1
149,1,269.16,164.00,185.62,523.00,1,-1,-1,-1
154,1,278.44,175.00,175.50,524.00,1,-1,-1,-1
158,1,277.59,168.00,171.28,537.00,1,-1,-1,-1
161,1,270.00,160.00,189.00,534.00,1,-1,-1,-1
164,1,281.81,159.00,162.00,543.00,1,-1,-1,-1
164,2,842.06,18.00,231.19,684.00,1,-1,-1,-1
167,1,264.94,151.00,200.81,548.00,1,-1,-1,-1
167,2,827.72,31.00,217.69,686.00,1,-1,-1,-1
170,1,294.47,151.00,186.47,553.00,1,-1,-1,-1
170,2,752.62,31.00,268.31,686.00,1,-1,-1,-1
173,1,310.50,150.00,172.97,546.00,1,-1,-1,-1
173,2,738.28,48.00,232.88,666.00,1,-1,-1,-1
179,1,326.53,157.00,196.59,532.00,1,-1,-1,-1
179,2,675.00,55.00,238.78,660.00,1,-1,-1,-1
182,1,378.00,155.00,156.94,536.00,1,-1,-1,-1
182,2,652.22,60.00,229.50,646.00,1,-1,-1,-1
185,1,394.88,155.00,151.88,531.00,1,-1,-1,-1
185,2,630.28,77.00,209.25,618.00,1,-1,-1,-1
190,1,444.66,149.00,119.81,561.00,1,-1,-1,-1
190,2,581.34,73.00,179.72,637.00,1,-1,-1,-1
193,1,456.47,153.00,133.31,549.00,1,-1,-1,-1
193,2,548.44,75.00,184.78,636.00,1,-1,-1,-1
196,1,489.38,152.00,118.97,551.00,1,-1,-1,-1
196,2,512.16,81.00,188.16,635.00,1,-1,-1,-1
199,1,505.41,151.00,184.78,559.00,1,-1,-1,-1
199,2,480.09,83.00,189.00,633.00,1,-1,-1,-1
202,1,550.97,143.00,135.00,571.00,1,-1,-1,-1
202,2,445.50,79.00,182.25,633.00,1,-1,-1,-1
205,1,555.19,130.00,138.38,585.00,1,-1,-1,-1
205,2,431.16,97.00,168.75,620.00,1,-1,-1,-1
208,1,558.56,128.00,170.44,585.00,1,-1,-1,-1
208,2,373.78,108.00,194.06,609.00,1,-1,-1,-1
211,1,577.12,132.00,170.44,579.00,1,-1,-1,-1
211,2,363.66,105.00,189.00,606.00,1,-1,-1,-1
